Recency,Frequency,Monetary,Cluster
1,413,231822.69,NEW
8,333,192361.95,NEW
1,3,168472.5,NEW
3,920,87591.7,NEW
326,1,77183.6,RISK
39,229,76579.32,NEW
4,277,66653.56,NEW
4,5111,65164.79,NEW
4,562,64197.5,NEW
1,2268,59023.68,NEW
1,69,57196.48,NEW
7,129,56160.92,NEW
3,1773,55531.46,NEW
8,1637,51527.3,NEW
10,589,50491.81,NEW
235,10,44534.3,RISK
4,314,43104.64,NEW
22,82,42055.96,NEW
182,3,39916.5,RISK
2,7491,38983.23,NEW
1,348,36745.85,NEW
4,136,36068.6,NEW
17,356,33016.2,NEW
11,164,32685.58,NEW
1,213,31833.68,NEW
1,4055,31081.74,NEW
1,572,28882.44,NEW
25,244,27073.23,NEW
8,45,26626.8,NEW
2,464,26558.36,NEW
12,954,25970.6,NEW
4,50,25543.84,NEW
1,693,19757.16,NEW
10,1423,19181.18,NEW
1,162,19137,NEW
2,710,18641.01,NEW
9,116,17654.54,NEW
3,178,17159.52,NEW
1,319,16903.85,NEW
9,98,16671.89,NEW
2,98,16347.76,NEW
1,212,16225.39,NEW
16,81,16209.5,NEW
9,261,16042.11,NEW
9,685,15899.29,NEW
2,337,15583.4,NEW
7,222,15386.79,NEW
1,196,14986.97,NEW
2,277,14728.78,NEW
4,339,14589.04,NEW
4,598,14572.32,NEW
11,98,14286.22,NEW
1,270,14034.99,NEW
33,293,13444.72,NEW
9,111,12669.98,NEW
2,668,12655.42,NEW
2,174,12616.01,NEW
3,9,12393.7,NEW
3,484,12339.68,NEW
3,348,12113.55,NEW
4,469,12082.39,NEW
1,191,11872.99,NEW
64,47,11581.8,RISK
25,127,11528.48,NEW
1,2557,11469.27,NEW
5,579,11349.52,NEW
8,498,11138.71,NEW
4,287,10921.72,NEW
16,97,10879.76,NEW
33,416,10797.48,NEW
45,134,10736.48,NEW
16,477,10650.77,NEW
31,370,10526.32,NEW
9,111,10484.99,NEW
10,111,10464.85,NEW
3,1062,10416.98,NEW
10,423,10399.74,NEW
2,322,10254.81,NEW
100,162,10254.18,RISK
1,401,10238.46,NEW
43,378,10196.57,NEW
5,444,10086.27,NEW
4,354,10026.66,NEW
4,337,9785.97,NEW
30,321,9682.02,NEW
7,382,9646.57,NEW
16,185,9455.53,NEW
2,290,9418.47,NEW
4,115,9348.44,NEW
7,418,9267.96,NEW
8,521,9227.82,NEW
7,594,8706.58,NEW
11,66,8631.31,NEW
22,73,8625.8,NEW
6,1102,8623.18,NEW
18,159,8438.34,NEW
1,376,8283.15,NEW
1,1088,8152.71,NEW
2,114,8134.94,NEW
60,138,8099.49,RISK
3,914,7989.8,NEW
11,495,7977.33,NEW
5,204,7943.22,NEW
9,147,7902.42,NEW
9,107,7800.12,NEW
23,59,7792.36,NEW
1,433,7769.09,NEW
4,828,7761.82,NEW
16,174,7755.89,NEW
2,427,7727.47,NEW
5,510,7722.65,NEW
19,444,7634.73,NEW
17,377,7586.39,NEW
2,79,7582.54,NEW
22,371,7574.7,NEW
15,189,7561.68,NEW
1,1667,7436.93,NEW
158,20,7374.9,RISK
1,1082,7304.28,NEW
16,458,7277.7,NEW
3,294,7210.37,NEW
38,656,7205.33,NEW
87,355,7180.7,RISK
3,206,7160.64,NEW
5,279,7123.62,NEW
36,75,7121.95,RISK
12,626,7069.08,NEW
4,351,7060.13,NEW
11,312,7044.68,NEW
276,146,7033.07,RISK
39,24,6933.3,RISK
3,64,6924.11,NEW
114,26,6912,RISK
32,295,6911.44,NEW
30,269,6893.42,NEW
20,90,6818.87,NEW
38,38,6814.64,RISK
59,118,6773.97,RISK
18,4,6748.8,BEST
32,350,6688.46,NEW
5,444,6680.11,NEW
12,154,6623.7,NEW
72,28,6617.65,RISK
8,217,6580.44,NEW
19,559,6496.35,NEW
17,721,6493.54,NEW
5,272,6484.54,NEW
4,93,6471.71,NEW
3,32,6463.84,NEW
23,336,6403.25,NEW
10,115,6368.19,NEW
3,463,6309.83,NEW
4,335,6307.65,NEW
3,519,6291.01,NEW
29,117,6287.77,NEW
2,471,6281.23,NEW
24,283,6211.66,NEW
14,304,6143.41,NEW
90,76,6115.01,RISK
1,293,6107.27,NEW
58,364,6083.64,RISK
16,1084,6072.87,NEW
4,194,6065.69,NEW
11,362,6008.18,NEW
33,421,6003.22,NEW
74,35,5976.79,RISK
15,302,5955.71,NEW
30,170,5900.25,NEW
30,321,5891.61,NEW
2,296,5870.08,NEW
17,785,5859.43,NEW
1,579,5855.57,NEW
7,311,5760.86,NEW
11,166,5756.89,NEW
7,286,5739.46,NEW
